06/24/18,9+6,15
06/24/18,12,1212
06/24/18,1-4,-77
06/24/18,1-7,-134
06/24/18,6,6
06/24/18,4+3,75
06/24/18,s,s
06/24/18,3,3
06/24/18,1,1
06/24/18,1+3,66
06/24/18,1-1,-20
06/24/18,3*3,9801
06/24/18,2/2,0.0
06/24/18,2-2,0
06/24/18,34-4,30
06/24/18,30-20+1-(5+4)/2,7
06/24/18,3+5,8
06/24/18,50-3+4,51
06/24/18,3-3,0
06/24/18,d,d
06/24/18,3,3
06/24/18,1+2,3
06/24/18,9+4,13
06/24/18,2,2
06/24/18,1,1
06/24/18,5456345,5456345
06/24/18,1+4-2/3,5
06/24/18,1+3,4.0
06/24/18,4+1+7-9*2/2,-0.5
06/24/18,3+3,6.0
06/24/18,6/2,3.0
06/24/18,5+1*(8-1),42.0
06/24/18,8-1,7.0
06/24/18,1*(7),7.0
06/24/18,5+1*(7),12.0
06/24/18,5+1*(8-1),42.0
06/24/18,5+1*(8-1),42
06/25/18,1+2,3
06/25/18,10/2,5.0
06/25/18,10/2-3+22*2-(15+5),26
06/25/18,3*2,6
06/25/18,8-2,6
06/25/18,1+2*(2-1),3
06/25/18,5+2*(5-3),14
06/25/18,1,1
06/25/18,1+2,3
06/25/18,10/2,5.0
06/25/18,10/2-3+22*2-(15+5),26
06/25/18,5+2*(5-3),14
06/25/18,3*2,6
06/25/18,8-2,6
06/25/18,1+2,3
