Senior Full-Stack Python Developer,Киев,"We are looking for a Senior Full-Stack Python Developer Required skills: 8+ years of demonstrated experience building, testing and shipping commercially available software products at a successful company..."
Full Stack Developer,Киев,Full Stack Developer We're looking for a Full Stack developer who will take a key role on our team. Our Full Stack developer must have knowledge in all stages of software development. Requirements : SKILLS:...
Data scientist,"Киев
Профиль компании","Rabota.ua team is seeking a smart, passionate, autonomous, and experienced Data Scientist. This role is based in Ukraine, Kiev. If you have a deep understanding of machine learning and statistical models,..."
Data scientist (Machine Learning),Киев,"Jooble - поисковик вакансий в Интернете. Мы верим, что для каждого человека в мире есть идеальная для него работа, и наша цель - помочь ему ее найти. Мы работаем в 66 странах и каждый день нашим сервисом..."
Продуктовый аналитик,Киев,"Jooble (https://jooble.org) - поисковик вакансий в Интернете. Мы верим, что для каждого человека в мире есть идеальная для него работа, и наша цель - помочь ему ее найти. Мы работаем в 66 странах и каждый..."
Computer Vision and Machine Learning Interns,Киев,"Digamma.ai is hiring Computer Vision and Machine Learning Interns to join our team. Get practical, real-life experience working on machine learning and computer vision projects with an established U.S...."
Senior Backend ( Python) Engineer,Киев,"We are looking for a Senior Backend ( Python) Engineer Competency in core computer science data structures and algorithms 4+ years of demonstrated experience building, testing and shipping commercially..."
Middle Python Software Engineer,Киев,"We are looking for a Software Engineer to join our ever growing Engineering team! Position: As a Software Engineer, you will have a diverse working day, participating in all stages of the development lifecycle...."
Senior Python/C++ Developer (World of Tanks Kyiv),"Киев
Профиль компании",World of Tanks Kyiv is looking for a Senior Python / C++ Engineer to join the Team on a full-time basis. As an Engineer you will be focusing on development of new features and modes for World of Tanks...
Middle DevOps Engineer for Digital Consumer Engagement Infrastructure,Киев,Project Overview: Our customer is a multinational corporation with more than a century of history and offices in over 180 countries. Their most ambitious goal at the time is to introduce a range of Reduced-Risk...
Senior 3D Plugin Developer (C++/Python),Киев,"Project Description: Are you looking for the opportunity to make a direct impact on next generation products with an major industry player? Do you have experience leading the design, development and enhancement..."
Data Science Engineer,Киев,"Main Requirements A strong computer science background (Bachelor's or Master's Degree in Computer Science/Engineering or equivalent experience) 1-3 years of professional experience programming in Python,..."
DevOps Engineer,Киев,"Job Description Configuration and support of version control systems, continuous integration systems, defect tracking systems Software development projects infrastructure support Creation of trainings..."
Senior DevOps Engineer (Kubernetes) for Digital Consumer Engagement Infrast...,Киев,Project Overview: Our customer is a multinational corporation with more than a century of history and offices in over 180 countries. Their most ambitious goal at the time is to introduce a range of Reduced-Risk...
Intermediate Strong Python Software Engineer,"Киев
Профиль компании",Job Intro: Are you excited about learning new technologies? Are you passionate about advanced engineering practices and beautiful design? Are you ready to help people save money? Are you excited about...
Data Scientist,Киев,"EOS is looking for an experienced Data Science Engineer who will be involved into project, related to Geospatial data analysis. EOS Data Analytics company is developing cloud-based GIS analysis service...."
